4,8000,2015-04-26,Apartment,2,"Sterling BrookSide, Opp. Kundalahalli Colony, ITPL Main Rd",bangalore
2,11000,2015-06-05,Apartment,1,"No.44,Ground floor,20th cross,Sector 2 HSR Layout,Bangalore.",bangalore
5,9000,2015-05-15,Apartment,4,"No.44,First floor,20th cross,Sector 2 HSR Layout.",bangalore
1,7500,2015-02-12,Independent,2,"#11,Annaiya Reddy Rd, Narayana Reddy Layout,Phase 2, Electronic City",bangalore
7,6500,2015-11-20,Apartment,1,"# 595/1, 1st Floor,1st A main, Domlur Layout",bangalore
6,10200,2015-12-25,Apartment,1,"Flat No-202, Apoorva Apartment No-296 Vyalikaval House Building Cooperative Society Ltd Nagavara",Delhi
10,7500,2015-06-20,Independent,1,"302,#473 VAK Residency, B-Block, AECS Layout Kundalahalli,",Delhi
13,12000,2015-02-25,Independent,1,"2nd House, No-80/289, Sri Hari Darshan Nilaya, Ground Floor, Bellandur",Delhi
15,6500,2015-04-07,Independent,2,"B105, 1st floor, B block, Barvika Residency",Delhi
12,11000,2015-02-24,Independent,1,"#301, Windsor Plaza,ITPL",Pune
16,6500,2015-04-23,Independent,1,"Flat No-211 Sri Krishna sai enclave, Hoodi village, beside Vivekananda Ashram, Mahadevapura post",Pune
14,13500,2016-01-07,Independent,1,"D1-1201, Uniworld Garden 2",Pune
11,8000,2015-08-29,Independent,1,"49, House 1 lathangi 2nd main vinayaka housing layout, RMV 2nd stage bhoopasandra",Pune
19,7500,2015-09-26,Independent,2,"Majeera Diamond Towers,malad-west",Pune
